,value
login,******6156
server,Darwinex-Live
balance,949233.0
equity,966748.0
margin,53300.0
free_margin,913448.0
margin_level,1813.786116322702
leverage,200
currency,USD
timestamp,2026-04-08 17:45:46.030431
